True
L1,True
L1,A,True
L1,A,A,True
L1,A,A,A,True
L1,A,A,A,A,True
L1,A,A,A,A,C,True
L1,A,A,A,A,L2,True
L1,A,A,A,A,L2,C,True
L1,A,A,A,C,True
L1,A,A,A,L2,True
L1,A,A,A,L2,A,True
L1,A,A,A,L2,A,C,True
L1,A,A,A,L2,C,True
L1,A,A,C,True
L1,A,A,L2,True
L1,A,A,L2,A,True
L1,A,A,L2,A,A,True
L1,A,A,L2,A,A,C,True
L1,A,A,L2,A,C,True
L1,A,A,L2,C,True
L1,A,C,True
L1,A,L2,True
L1,A,L2,A,True
L1,A,L2,A,A,True
L1,A,L2,A,A,A,True
L1,A,L2,A,A,A,C,True
L1,A,L2,A,A,C,True
L1,A,L2,A,C,True
L1,A,L2,C,True
L1,L2,True
L1,L2,A,True
L1,L2,A,A,True
L1,L2,A,A,A,True
L1,L2,A,A,A,A,True
L1,L2,A,A,A,A,C,True
L1,L2,A,A,A,C,True
L1,L2,A,A,C,True
L1,L2,A,C,True
L2,True
L2,L1,True
L2,L1,A,True
L2,L1,A,A,True
L2,L1,A,A,A,True
L2,L1,A,A,A,A,True
L2,L1,A,A,A,A,C,True
L2,L1,A,A,A,C,True
L2,L1,A,A,C,True
L2,L1,A,C,True
A,False
C,False
L1,L1,False
L1,C,False
L2,L2,False
L2,A,False
L2,C,False
A,L1,False
A,L2,False
A,A,False
A,C,False
C,L1,False
C,L2,False
C,A,False
C,C,False
L1,L1,L1,False
L1,L1,L2,False
L1,L1,A,False
L1,L1,C,False
L1,L2,L1,False
L1,L2,L2,False
L1,L2,C,False
L1,A,L1,False
L1,C,L1,False
L1,C,L2,False
L1,C,A,False
L1,C,C,False
L2,L1,L1,False
L2,L1,L2,False
L2,L1,C,False
L2,L2,L1,False
L2,L2,L2,False
L2,L2,A,False
L2,L2,C,False
L2,A,L1,False
L2,A,L2,False
L2,A,A,False
L2,A,C,False
L2,C,L1,False
L2,C,L2,False
L2,C,A,False
L2,C,C,False
A,L1,L1,False
A,L1,L2,False
A,L1,A,False
A,L1,C,False
A,L2,L1,False
A,L2,L2,False
A,L2,A,False
A,L2,C,False
A,A,L1,False
A,A,L2,False
A,A,A,False
A,A,C,False
A,C,L1,False
A,C,L2,False
A,C,A,False
A,C,C,False
C,L1,L1,False
C,L1,L2,False
C,L1,A,False
C,L1,C,False
C,L2,L1,False
C,L2,L2,False
C,L2,A,False
C,L2,C,False
C,A,L1,False
C,A,L2,False
C,A,A,False
C,A,C,False
C,C,L1,False
C,C,L2,False
C,C,A,False
C,C,C,False
L1,L1,L1,L1,False
L1,L1,L1,L2,False
L1,L1,L1,A,False
L1,L1,L1,C,False
L1,L1,L2,L1,False
L1,L1,L2,L2,False
L1,L1,L2,A,False
L1,L1,L2,C,False
L1,L1,A,L1,False
L1,L1,A,L2,False
L1,L1,A,A,False
L1,L1,A,C,False
L1,L1,C,L1,False
L1,L1,C,L2,False
L1,L1,C,A,False
L1,L1,C,C,False
L1,L2,L1,L1,False
L1,L2,L1,L2,False
L1,L2,L1,A,False
L1,L2,L1,C,False
L1,L2,L2,L1,False
L1,L2,L2,L2,False
L1,L2,L2,A,False
L1,L2,L2,C,False
L1,L2,A,L1,False
L1,L2,A,L2,False
L1,L2,C,L1,False
L1,L2,C,L2,False
L1,L2,C,A,False
L1,L2,C,C,False
L1,A,L1,L1,False
L1,A,L1,L2,False
L1,A,L1,A,False
L1,A,L1,C,False
L1,A,L2,L1,False
L1,A,L2,L2,False
L1,A,A,L1,False
L1,A,C,L1,False
L1,A,C,L2,False
